accelerometer,gyro,surface
0.9037377063617519,1.6987355740814991,asphalt
0.8345711174429654,2.0517254587897473,asphalt
1.160287720546934,0.8952110037270542,asphalt
1.1065493422003376,1.2764590909950855,asphalt
0.9318079552831688,4.475665890057143,asphalt
0.9351021483351432,2.2493648493263603,asphalt
1.08083589352732,2.0741289281847934,asphalt
0.9563753075571326,1.8242393515035245,asphalt
1.033354404078775,1.8859886231719427,asphalt
0.9145972208119812,0.9294090196275265,asphalt
1.0813874741654816,1.7608542521651247,asphalt
1.1858947017543338,2.589367672138509,asphalt
0.8407949341206808,3.6159465394102552,asphalt
0.8626030195594031,3.8531389725022893,asphalt
1.1962507618534668,3.372053823298792,asphalt
1.003321806419057,4.090123828366448,asphalt
1.05071254900377,4.030688745595348,asphalt
1.071869807241066,5.44988739240748,asphalt
1.054912692007258,4.566663076979185,asphalt
0.7575653188009599,4.343692195425454,asphalt
1.0473069171169451,5.029802683980555,asphalt
1.115773209758148,4.768193942644321,asphalt
1.1263045166454764,5.315777469345664,asphalt
1.149290051454375,4.179710587468109,asphalt
0.9709195243319603,6.437508782853038,asphalt
0.8454019971049276,4.695271360080692,asphalt
1.1247961644613658,3.2205084140417957,asphalt
1.1023768270373793,1.8493371609552434,asphalt
0.8596510312621046,4.958988296970059,asphalt
0.9857703811238193,5.265254920689026,asphalt
0.8741331649634396,7.289102386234672,asphalt
1.098700460616996,8.767034486439186,asphalt
1.1972247450119797,5.074550763903836,asphalt
1.06153685124964,4.710049376902221,asphalt
0.8937189736164272,6.69012175051314,asphalt
1.0156680457713534,6.183575124600574,asphalt
1.1134512039802194,4.703792074946978,asphalt
0.9434358721715006,3.8779546338145834,asphalt
0.8388114132771441,2.817220372639315,asphalt
1.1111298052585936,5.389896209092156,asphalt
1.3141671193029445,4.563092034258349,asphalt
0.9981821755962185,3.3963746044283747,asphalt
0.7071524448907746,1.9672004108748047,asphalt
1.1556720808789145,2.6478725457561207,asphalt
1.0261073711332553,3.789835657894812,asphalt
0.9713229211601052,4.1209463380022315,asphalt
1.1227643486658274,4.376852379745517,asphalt
1.132509095545815,3.787930753246949,asphalt
0.7815371587563831,4.719753667651417,asphalt
0.9135164301669675,4.927644487792722,asphalt
1.3235321286232533,5.004277869713971,asphalt
1.065106718420741,4.3520995723147236,asphalt
0.8318564849353524,4.135498046039074,asphalt
0.9107094268892796,4.320069816726693,asphalt
1.1866860570837596,5.794684507830776,asphalt
0.9983877224650752,2.4426460023640346,asphalt
0.9419976072565153,2.5988817424280777,asphalt
1.037661621877768,5.636940465625923,asphalt
1.0762605844171753,3.1964527008751435,asphalt
1.0000914819340279,3.0469855602257128,asphalt
1.066265201212625,4.263377352290787,asphalt
1.151317222042648,5.505716943420266,asphalt
0.9106191482282809,3.4855891809886312,asphalt
1.0453227134784742,6.129856206676059,asphalt
0.9030232625735618,4.6599551528555505,asphalt
1.2244059424798623,4.042657055723377,asphalt
0.9778733082782247,4.141770368270191,asphalt
0.8935566362385767,5.298513790583733,asphalt
0.8855396889163127,5.817681376148664,asphalt
1.0745980913592765,4.064484332924042,asphalt
1.126185931821651,3.9973073384168245,asphalt
1.0327759332294688,4.4282304743291085,asphalt
0.9310055198037227,3.7132501258565926,asphalt
1.0346771671666481,3.878674727000577,asphalt
1.0436819733012541,3.520979614879501,asphalt
1.092760011208774,3.9706582261834122,asphalt
0.6714952364291201,3.176504238117903,asphalt
0.8068799356868406,5.6368167640904385,asphalt
1.120524927773586,6.2945608036029,asphalt
1.1433317165989054,7.66928331654197,asphalt
1.1713790751904354,5.2636633289727985,asphalt
1.108229008772555,6.334345117779896,asphalt
0.845818211070795,6.489866367088077,asphalt
0.94067579016152,5.781792044338848,asphalt
1.0413073583130967,7.9477345252525256,asphalt
0.9829263942885043,6.995950385417695,asphalt
1.028125076310757,6.635555885090111,asphalt
1.1556671583128943,7.007671935518529,asphalt
0.8690849707427921,4.468975702814908,asphalt
1.218277797066416,3.313020245886373,asphalt
1.000303789486474,4.56117830564088,asphalt
0.9761670515178229,5.6496683012178694,asphalt
1.0495768441524422,4.060185563695703,asphalt
1.1303606027980628,2.051157798915042,asphalt
0.8262088957842321,2.546023641828567,asphalt
1.0632881295594343,1.5743934729758633,asphalt
