x accelerometer,y accelerometer,z accelerometer,x gyro,y gyro,z gyro,surface
0.051514,0.02417,-1.04126,-1.251221,1.190186,1.327515,tile
-0.083984,-0.133057,-1.077881,-2.365112,1.586914,0.732422,tile
-0.083496,-0.01001,-0.947266,0.930786,0.38147,0.839233,tile
0.004639,-0.049072,-0.908447,0.656128,0.778198,0.015259,tile
0.060303,-0.019287,-1.036133,-0.106812,1.098633,0.869751,tile
-0.075439,-0.047119,-1.033691,1.159668,1.602173,1.434326,tile
-0.022705,-0.01709,-1.072998,-0.946045,0.335693,-0.778198,tile
0.078857,-0.067627,-0.972168,-0.396728,-0.289917,-0.12207,tile
-0.049072,-0.040283,-0.910889,1.174927,1.63269,0.930786,tile
-0.037109,-0.090576,-1.147461,0.0,1.571655,1.617432,tile
-0.025635,-0.015625,-1.006836,0.579834,1.022339,2.090454,tile
-0.050537,0.029541,-0.945313,-0.38147,0.671387,1.953125,tile
0.034912,-0.10791,-1.002197,-0.427246,-0.106812,1.617432,tile
0.033203,-0.044189,-1.009766,1.00708,0.808716,2.502441,tile
-0.086914,-0.046631,-1.136963,0.167847,0.671387,1.907349,tile
-0.015625,-0.03833,-0.926514,-0.152588,-1.480102,1.419067,tile
0.033447,-0.115234,-0.940186,0.640869,-0.549316,2.197266,tile
-0.022461,-0.045898,-1.078613,1.235962,0.854492,3.082275,tile
-0.029297,-0.0896,-0.996826,0.076294,0.045776,2.975464,tile
0.015625,-0.040039,-0.88916,0.50354,0.320435,3.585815,tile
-0.049805,-0.081787,-1.016602,1.51062,1.678467,3.723144,tile
0.040771,0.015137,-1.136719,1.174927,0.579834,2.960205,tile
-0.085938,-0.089111,-0.913086,1.327515,0.579834,2.487183,tile
-0.00708,-0.026611,-1.045898,1.068115,0.228882,2.258301,tile
-0.053955,-0.067383,-1.021973,2.029419,0.152588,2.090454,tile
0.043213,-0.052979,-0.940186,0.915527,-0.259399,2.212524,tile
0.0,-0.028809,-1.057861,0.549316,0.671387,1.953125,tile
-0.030029,-0.057861,-1.009277,1.861572,0.701904,2.044678,tile
0.032471,-0.062256,-0.923096,2.044678,0.610352,2.502441,tile
-0.020264,-0.074219,-1.100098,2.166748,1.602173,2.426147,tile
-0.053467,-0.016602,-0.988037,2.029419,0.305176,1.998901,tile
-0.015625,0.044189,-0.973633,1.113892,0.061035,1.770019,tile
-0.01416,-0.125977,-1.025635,0.991821,-1.083374,1.861572,tile
0.118408,0.004639,-0.984131,1.190186,0.152588,2.716064,tile
