x accelerometer,y accelerometer,z accelerometer,x gyro,y gyro,z gyro,surface
-0.132813,-0.060303,-1.08374,1.266479,-0.854492,-2.655029,stones
-0.080078,-0.023193,-1.013916,1.785278,-1.556396,-2.548218,stones
-0.090088,-0.010742,-0.877441,0.686645,-2.059937,-2.044678,stones
-0.068359,0.000732,-0.952637,1.63269,-2.197266,-1.190186,stones
-0.068848,-0.029785,-0.949951,2.212524,-2.27356,-0.839233,stones
-0.024414,-0.078369,-0.988037,2.838135,-1.846313,-0.38147,stones
-0.110107,0.007568,-1.101807,3.082275,-1.480102,0.12207,stones
-0.053223,0.025635,-1.0271,2.243042,-1.419067,0.152588,stones
-0.084229,-0.034668,-1.133789,1.312256,-1.480102,0.12207,stones
-0.051025,-0.032471,-1.056641,1.571655,-1.89209,-0.137329,stones
0.01709,-0.030273,-0.87793,-1.159668,-1.419067,-0.915527,stones
-0.031982,-0.049072,-0.956055,-0.320435,-0.396728,-1.083374,stones
-0.104004,-0.047607,-1.081787,1.739502,0.183105,-2.212524,stones
-0.016602,-0.036621,-1.030762,1.281738,0.808716,-3.585815,stones
-0.063965,-0.089355,-1.022949,-0.045776,2.01416,-5.584716,stones
-0.077148,-0.069336,-1.04834,0.991821,2.166748,-4.79126,stones
-0.16626,-0.08252,-1.121094,-0.015259,1.480102,-4.989624,stones
-0.127441,-0.098877,-0.996338,-1.190186,-0.12207,-5.050659,stones
-0.051025,-0.066895,-0.990479,-1.831055,-0.091553,-3.860473,stones
-0.020752,-0.141113,-0.963623,0.183105,1.00708,-4.638672,stones
0.032715,-0.231934,-0.938965,0.930786,0.915527,-4.180908,stones
-0.024414,-0.121582,-0.98291,2.853393,2.01416,-2.716064,stones
-0.214111,-0.143066,-0.934326,3.051758,1.556396,-2.716064,stones
-0.071289,-0.18335,-0.91333,3.433227,0.061035,-1.846313,stones
-0.083496,-0.054199,-1.115967,5.386352,1.281738,-2.990722,stones
0.011963,-0.116699,-1.11499,6.912231,0.320435,-4.211426,stones
-0.011963,-0.10791,-0.999268,4.928589,0.411987,-2.853393,stones
-0.138184,-0.142334,-1.037354,3.64685,0.854492,-2.120972,stones
-0.104004,-0.101563,-1.073975,3.570556,0.350952,-3.64685,stones
-0.025635,-0.15625,-1.094727,2.822876,-0.091553,-4.516602,stones
-0.344238,-0.477539,-1.100586,5.004883,-1.113892,-3.265381,stones
-0.433594,-0.479248,-1.01001,8.544922,-3.845215,3.555298,stones
-0.221924,-0.166992,-0.95874,7.461547,-5.935668,8.132935,stones
-0.145264,-0.272461,-1.046631,4.516602,-6.729125,8.300781,stones
0.020996,-0.230713,-0.908936,4.089355,-8.560181,9.58252,stones
0.055176,-0.209473,-0.950195,6.835937,-8.560181,8.880615,stones
0.059814,-0.265137,-1.049316,6.027221,-8.239746,8.361816,stones
0.027832,-0.209717,-0.956543,4.486084,-6.607055,8.285522,stones
0.007324,-0.198975,-0.936523,3.52478,-6.103515,8.514404,stones
-0.103271,-0.14917,-1.02417,3.234863,-5.386352,8.224487,stones
-0.172607,-0.048096,-0.979004,1.480102,-6.088256,6.179809,stones
-0.102783,-0.175293,-1.012695,0.808716,-7.141113,5.020141,stones
-0.000732,-0.069824,-0.89502,-0.045776,-6.179809,5.66101,stones
-0.083496,-0.087646,-0.980225,-1.190186,-4.257202,4.013062,stones
0.089355,-0.059082,-0.9729,-0.62561,-3.082275,2.655029,stones
-0.024658,-0.045898,-1.102783,-0.976562,-0.991821,1.419067,stones
-0.166016,-0.066895,-1.121094,-1.602173,-0.778198,-0.656128,stones
-0.038574,-0.073486,-1.029785,-3.295898,-1.205444,-1.968384,stones
-0.010254,-0.051514,-0.875244,-5.172729,0.50354,-2.426147,stones
0.118408,-0.124268,-0.725098,-6.484985,3.280639,-3.112793,stones
-0.113525,-0.047119,-0.724854,-5.645751,7.843017,-4.470825,stones
-0.162354,-0.027832,-0.973633,-3.875732,7.247924,-7.141113,stones
-0.281006,-0.050293,-1.215332,-2.410889,6.027221,-6.835937,stones
