x accelerometer,y accelerometer,z accelerometer,x gyro,y gyro,z gyro,surface
-0.029297,-0.0271,-1.060547,-2.319336,-0.305176,0.854492,asphalt
-0.011475,-0.036377,-0.981445,-1.647949,0.473022,-0.091553,asphalt
0.023682,-0.005859,-1.047119,-2.304077,-0.320435,-1.00708,asphalt
-0.0896,0.020752,-1.15625,-4.684448,-2.914428,-1.312256,asphalt
0.162109,0.014893,-0.931396,-2.456665,-4.501343,-1.708984,asphalt
0.193848,-0.276367,-0.775879,-1.052856,-1.342773,-3.067016,asphalt
-0.083496,-0.078125,-0.900879,0.762939,0.411987,0.335693,asphalt
-0.02832,-0.068359,-1.076416,4.592896,2.227783,0.778198,asphalt
-0.082764,0.073486,-1.083008,0.12207,2.944946,-0.274658,asphalt
-0.124756,0.020996,-1.005859,-3.356933,1.235962,0.137329,asphalt
0.083008,-0.009033,-0.947754,1.174927,-0.38147,-1.235962,asphalt
0.155518,-0.023438,-0.955078,2.761841,1.251221,-3.784179,asphalt
0.019775,-0.042725,-1.080811,2.319336,3.784179,-3.890991,asphalt
-0.088623,-0.018555,-0.964355,0.747681,3.219604,-1.724243,asphalt
-0.13501,0.018799,-0.922119,1.190186,1.708984,-0.961304,asphalt
-0.009521,-0.016602,-1.180176,2.868652,0.900268,-1.953125,asphalt
0.172363,0.154053,-0.924561,1.770019,0.900268,-1.998901,asphalt
0.062012,-0.10791,-1.029297,-1.937866,2.182007,-0.671387,asphalt
-0.16333,0.018066,-1.018066,1.464844,2.01416,1.342773,asphalt
0.123047,0.071533,-1.064941,1.693725,0.137329,1.296997,asphalt
0.056152,-0.060059,-0.98999,-1.083374,1.724243,0.930786,asphalt
-0.153564,0.011963,-0.909668,0.305176,0.793457,2.105713,asphalt
0.15918,-0.015381,-1.091064,3.509521,-1.052856,2.563476,asphalt
0.040771,0.127686,-0.995361,2.288818,2.120972,1.708984,asphalt
-0.06543,0.031738,-1.119141,-1.296997,1.647949,1.525879,asphalt
-0.006104,-0.033447,-0.94751,-1.312256,-0.473022,4.669189,asphalt
-0.038574,0.047363,-0.927734,0.396728,-0.656128,2.365112,asphalt
0.137939,-0.154541,-1.161377,2.746582,0.549316,0.305176,asphalt
-0.073486,-0.05542,-1.069336,2.182007,1.266479,2.471924,asphalt
-0.013672,-0.084717,-0.940918,-0.564575,0.671387,3.814697,asphalt
