x accelerometer,y accelerometer,z accelerometer,x gyro,y gyro,z gyro,surface
-0.031006,-0.297607,-0.951904,5.004883,-5.081176,-10.299682,grass
-0.02124,-0.314453,-0.950439,5.203247,-5.096435,-10.025024,grass
-0.041016,-0.307617,-0.953125,5.508422,-4.867554,-9.841919,grass
-0.060547,-0.316895,-0.955078,5.218505,-4.806519,-9.628296,grass
-0.052002,-0.333008,-0.953857,5.462646,-4.623413,-9.643555,grass
-0.045898,-0.343262,-0.959473,5.523681,-4.470825,-9.658813,grass
-0.03418,-0.36377,-0.960205,5.554199,-4.211426,-9.552002,grass
-0.063965,-0.371338,-0.96167,5.798339,-3.860473,-9.796143,grass
-0.070557,-0.37207,-0.964844,5.676269,-3.692627,-10.0708,grass
-0.076904,-0.389648,-0.965332,5.737304,-3.326416,-10.284423,grass
-0.081787,-0.36499,-0.977051,5.523681,-2.929687,-10.345458,grass
-0.085205,-0.370361,-0.983643,4.760742,-2.5177,-10.269164,grass
-0.108887,-0.371826,-0.982422,4.364014,-2.029419,-9.979248,grass
-0.101318,-0.361084,-0.975342,3.982544,-1.571655,-9.521484,grass
-0.100098,-0.362061,-0.969238,3.326416,-1.037598,-9.292603,grass
-0.101807,-0.368408,-0.958984,2.868652,-0.62561,-8.880615,grass
-0.093506,-0.365234,-0.943848,2.746582,-0.38147,-8.728027,grass
-0.089844,-0.358398,-0.947998,2.502441,-0.137329,-8.911133,grass
-0.085693,-0.347168,-0.959717,2.227783,-0.091553,-8.972168,grass
-0.078369,-0.337158,-0.96167,2.075195,-0.030518,-8.834839,grass
-0.073242,-0.327393,-0.969482,1.922607,0.137329,-8.560181,grass
-0.065674,-0.322266,-0.955811,1.983642,0.244141,-8.132935,grass
-0.062256,-0.316162,-0.947998,1.861572,0.396728,-7.797241,grass
-0.055908,-0.310791,-0.948975,1.724243,0.50354,-7.629394,grass
-0.049316,-0.305908,-0.958984,1.617432,0.50354,-7.476806,grass
-0.046631,-0.298584,-0.965088,1.495361,0.442505,-7.278442,grass
-0.038574,-0.294678,-0.971924,1.190186,0.473022,-7.095336,grass
-0.027832,-0.301025,-0.965088,1.00708,0.549316,-6.942749,grass
-0.027344,-0.306641,-0.957275,1.00708,0.778198,-6.759643,grass
-0.025146,-0.304443,-0.953857,0.778198,0.946045,-6.66809,grass
-0.029541,-0.304443,-0.956787,0.579834,1.052856,-6.54602,grass
-0.03833,-0.30542,-0.961182,0.518799,0.869751,-6.454467,grass
-0.040039,-0.310547,-0.959229,0.50354,0.701904,-6.42395,grass
-0.034424,-0.311768,-0.95459,0.427246,0.564575,-6.378173,grass
-0.024414,-0.316406,-0.945313,0.564575,0.50354,-6.256103,grass
-0.031494,-0.311279,-0.940918,0.793457,0.518799,-6.16455,grass
-0.032715,-0.312012,-0.946289,0.808716,0.38147,-6.179809,grass
-0.022705,-0.311279,-0.95166,0.793457,0.366211,-6.210327,grass
-0.021729,-0.310303,-0.950439,0.686645,0.50354,-6.332397,grass
-0.028564,-0.3125,-0.946045,0.686645,0.62561,-6.393432,grass
-0.027832,-0.313232,-0.94751,0.488281,0.915527,-6.484985,grass
-0.032471,-0.31665,-0.947754,0.366211,1.281738,-6.484985,grass
-0.039063,-0.324219,-0.952393,0.289917,1.358032,-6.54602,grass
-0.035156,-0.327148,-0.951416,0.12207,1.617432,-6.622314,grass
-0.038574,-0.335205,-0.933105,0.091553,1.968384,-6.92749,grass
-0.04126,-0.34668,-0.913818,0.366211,2.120972,-7.186889,grass
-0.032227,-0.352295,-0.906982,0.88501,2.227783,-7.705688,grass
-0.036865,-0.364258,-0.913086,1.63269,2.151489,-8.178711,grass
-0.028076,-0.375488,-0.918701,2.380371,1.922607,-8.758545,grass
0.002197,-0.387451,-0.928223,2.929687,1.89209,-9.185791,grass
-0.001709,-0.385498,-0.933105,3.463745,2.197266,-9.750366,grass
-0.008057,-0.378662,-0.917236,3.692627,2.487183,-10.131835,grass
0.021973,-0.372803,-0.928711,3.723144,1.922607,-10.086059,grass
0.008545,-0.363037,-0.931641,4.119873,1.922607,-10.177611,grass
-0.002197,-0.353027,-0.933594,4.364014,1.907349,-10.299682,grass
-0.008545,-0.329102,-0.942627,4.53186,1.586914,-10.101317,grass
-0.015869,-0.316162,-0.941406,4.669189,1.373291,-9.94873,grass
