Timestamp,x accelerometer,y accelerometer,z accelerometer,x gyro,y gyro,z gyro,surface
2024-03-21 13:51:16.295,-0.035156,-0.180176,-0.984131,2.609253,-0.045776,0.320435,grass
2024-03-21 13:51:16.304,-0.006836,-0.173828,-0.980713,2.883911,-0.274658,0.152588,grass
2024-03-21 13:51:16.314,-0.020264,-0.172607,-0.974121,2.838135,-0.061035,-0.610352,grass
2024-03-21 13:51:16.324,-0.033691,-0.185791,-0.984131,2.777099,0.045776,-1.144409,grass
2024-03-21 13:51:16.333,-0.036133,-0.190918,-0.988525,2.990722,0.137329,-1.63269,grass
2024-03-21 13:51:16.343,-0.04126,-0.196289,-0.975342,3.067016,0.259399,-2.029419,grass
2024-03-21 13:51:16.353,-0.053711,-0.20459,-0.975098,3.02124,0.534058,-2.13623,grass
2024-03-21 13:51:16.363,-0.053955,-0.216553,-0.971436,3.112793,0.671387,-1.876831,grass
2024-03-21 13:51:16.373,-0.04834,-0.213135,-0.970947,3.387451,0.808716,-1.63269,grass
2024-03-21 13:51:16.382,-0.051758,-0.2146,-0.970215,3.52478,0.88501,-1.449585,grass
2024-03-21 13:51:16.392,-0.054688,-0.220459,-0.974609,3.723144,0.915527,-1.266479,grass
2024-03-21 13:51:16.402,-0.054932,-0.226807,-0.978271,4.074097,0.930786,-1.037598,grass
2024-03-21 13:51:16.412,-0.055664,-0.237061,-0.978027,4.226685,0.961304,-0.717163,grass
2024-03-21 13:51:16.421,-0.059326,-0.248779,-0.977783,4.348755,0.869751,-0.411987,grass
2024-03-21 13:51:16.431,-0.069092,-0.256836,-0.982666,4.577637,0.946045,0.12207,grass
2024-03-21 13:51:16.441,-0.075439,-0.261963,-0.981201,4.745483,1.00708,0.62561,grass
2024-03-21 13:51:16.451,-0.072998,-0.26416,-0.973633,4.714966,0.915527,1.266479,grass
2024-03-21 13:51:16.460,-0.067383,-0.266357,-0.972656,4.714966,0.946045,1.861572,grass
2024-03-21 13:51:16.470,-0.060547,-0.265869,-0.976074,4.852295,0.88501,2.258301,grass
2024-03-21 13:51:16.480,-0.055908,-0.270996,-0.97998,4.776001,0.88501,2.5177,grass
2024-03-21 13:51:16.489,-0.053955,-0.269775,-0.980713,4.608154,0.915527,2.624511,grass
2024-03-21 13:51:16.500,-0.057129,-0.270508,-0.978271,4.638672,0.900268,2.716064,grass
2024-03-21 13:51:16.510,-0.057617,-0.270752,-0.977051,4.653931,1.00708,2.685547,grass
2024-03-21 13:51:16.520,-0.054199,-0.27124,-0.973145,4.653931,1.037598,2.63977,grass
2024-03-21 13:51:16.530,-0.053955,-0.266602,-0.976318,4.577637,1.113892,2.746582,grass
2024-03-21 13:51:16.540,-0.056641,-0.263672,-0.977783,4.394531,1.235962,2.929687,grass
2024-03-21 13:51:16.549,-0.056641,-0.263672,-0.977295,4.425049,1.281738,3.067016,grass
2024-03-21 13:51:16.559,-0.054199,-0.261963,-0.97998,4.425049,1.358032,3.173828,grass
2024-03-21 13:51:16.569,-0.056152,-0.26416,-0.980957,4.226685,1.38855,3.479004,grass
2024-03-21 13:51:16.579,-0.053711,-0.265625,-0.980469,4.165649,1.403808,3.738403,grass
2024-03-21 13:51:16.590,-0.054688,-0.265137,-0.974121,4.135132,1.449585,4.119873,grass
2024-03-21 13:51:16.600,-0.05957,-0.265381,-0.971191,4.013062,1.525879,4.40979,grass
2024-03-21 13:51:16.610,-0.062256,-0.262939,-0.970703,3.936767,1.495361,4.669189,grass
2024-03-21 13:51:16.620,-0.063232,-0.262939,-0.971191,3.90625,1.495361,5.020141,grass
2024-03-21 13:51:16.630,-0.03833,-0.243652,-0.976318,4.043579,1.464844,5.386352,grass
2024-03-21 13:51:16.639,-0.057373,-0.259277,-0.971191,3.952026,1.495361,5.432128,grass
2024-03-21 13:51:16.649,-0.056641,-0.258301,-0.981201,3.738403,1.617432,5.477905,grass
2024-03-21 13:51:16.659,-0.050049,-0.27002,-0.978516,3.875732,1.556396,5.615234,grass
2024-03-21 13:51:16.670,-0.039551,-0.248779,-0.972656,3.936767,1.647949,5.508422,grass
2024-03-21 13:51:16.680,-0.044678,-0.258789,-0.963135,3.967285,1.708984,5.187988,grass
2024-03-21 13:51:16.690,-0.044678,-0.255371,-0.972656,3.799438,1.785278,5.0354,grass
2024-03-21 13:51:16.700,-0.043457,-0.25415,-0.976563,3.829956,1.89209,5.020141,grass
2024-03-21 13:51:16.709,-0.03418,-0.248779,-0.967285,3.890991,1.846313,5.004883,grass
2024-03-21 13:51:16.719,-0.033447,-0.241699,-0.965576,3.875732,1.89209,4.898071,grass
2024-03-21 13:51:16.729,-0.028564,-0.238037,-0.968262,3.890991,2.029419,4.730225,grass
2024-03-21 13:51:16.739,-0.023193,-0.233154,-0.976563,3.967285,1.968384,4.562378,grass
2024-03-21 13:51:16.750,-0.026123,-0.236572,-0.980469,3.890991,1.846313,4.364014,grass
2024-03-21 13:51:16.760,-0.022461,-0.240967,-0.977539,3.845215,1.724243,4.165649,grass
2024-03-21 13:51:16.770,-0.018555,-0.249023,-0.965332,3.845215,1.586914,4.089355,grass
2024-03-21 13:51:16.780,-0.012939,-0.249512,-0.956543,3.890991,1.51062,3.875732,grass
2024-03-21 13:51:16.790,-0.00708,-0.249512,-0.95874,3.845215,1.541138,3.616333,grass
2024-03-21 13:51:16.799,-0.005127,-0.247559,-0.962646,3.982544,1.541138,3.158569,grass
