Timestamp,x accelerometer,y accelerometer,z accelerometer,x gyro,y gyro,z gyro,surface
2024-03-20 09:59:36.299,-0.075928,-0.17041,-0.994629,-1.663208,6.744384,-8.789063,stones
2024-03-20 09:59:36.310,-0.019043,-0.023682,-0.929199,3.036499,5.0354,-6.591796,stones
2024-03-20 09:59:36.319,-0.126953,-0.098145,-0.848633,3.631592,2.365112,-4.043579,stones
2024-03-20 09:59:36.330,-0.127441,-0.188232,-0.908936,5.310058,-0.076294,-5.15747,stones
2024-03-20 09:59:36.340,-0.073486,-0.26709,-0.895996,8.285522,-1.998901,-6.408691,stones
2024-03-20 09:59:36.349,-0.110352,-0.172363,-0.865234,9.979248,-2.288818,-3.90625,stones
2024-03-20 09:59:36.360,-0.102051,-0.197266,-0.947754,10.345458,-1.266479,-0.88501,stones
2024-03-20 09:59:36.369,-0.13501,-0.124756,-0.97583,11.795043,-1.998901,1.708984,stones
2024-03-20 09:59:36.380,-0.156738,-0.095947,-1.019287,10.375976,-3.784179,4.257202,stones
2024-03-20 09:59:36.389,-0.160889,-0.006592,-1.020996,8.666992,-6.484985,5.050659,stones
2024-03-20 09:59:36.400,-0.079102,-0.052246,-0.985596,6.04248,-8.895874,5.554199,stones
2024-03-20 09:59:36.409,-0.046387,-0.052979,-1.001709,3.280639,-9.44519,4.53186,stones
2024-03-20 09:59:36.419,0.095947,-0.164063,-1.029785,5.020141,-9.32312,2.548218,stones
2024-03-20 09:59:36.430,0.097412,-0.152832,-1.077393,6.713867,-7.980346,2.487183,stones
2024-03-20 09:59:36.439,-0.039063,-0.207275,-1.056885,8.209229,-6.072998,4.455566,stones
2024-03-20 09:59:36.450,-0.087402,-0.165771,-1.037354,7.965087,-4.821777,3.265381,stones
2024-03-20 09:59:36.459,0.009766,-0.109375,-0.927734,8.789063,-4.684448,2.120972,stones
2024-03-20 09:59:36.470,0.010254,-0.123047,-0.921143,10.681151,-3.448486,2.700805,stones
2024-03-20 09:59:36.479,-0.043701,-0.052979,-0.901611,10.31494,-2.288818,3.433227,stones
2024-03-20 09:59:36.490,-0.170654,-0.082764,-0.917725,9.460449,-2.410889,3.082275,stones
2024-03-20 09:59:36.500,-0.066895,-0.0625,-0.920898,9.490967,-3.097534,2.044678,stones
2024-03-20 09:59:36.509,-0.111572,-0.100098,-0.911865,6.866455,-1.724243,1.983642,stones
2024-03-20 09:59:36.520,-0.208252,-0.051514,-0.854248,6.729125,-0.579834,2.166748,stones
2024-03-20 09:59:36.529,-0.104004,0.02002,-0.896973,4.501343,1.464844,1.693725,stones
2024-03-20 09:59:36.540,-0.199707,-0.098633,-1.185059,5.722045,2.883911,0.0,stones
2024-03-20 09:59:36.549,-0.185547,-0.077393,-1.260498,7.614135,2.029419,-0.900268,stones
2024-03-20 09:59:36.560,-0.19458,-0.11084,-1.27417,5.966186,1.068115,-1.00708,stones
2024-03-20 09:59:36.569,-0.152588,-0.022461,-1.107422,3.601074,0.579834,0.915527,stones
2024-03-20 09:59:36.580,-0.108643,-0.044678,-1.117188,0.610352,-0.686645,3.051758,stones
2024-03-20 09:59:36.590,-0.063965,-0.052002,-1.043945,-1.00708,-1.342773,3.479004,stones
2024-03-20 09:59:36.599,0.030029,0.044434,-0.96582,-1.876831,-0.976562,3.082275,stones
2024-03-20 09:59:36.610,-0.024658,0.02124,-0.889648,-2.761841,0.38147,2.029419,stones
2024-03-20 09:59:36.619,-0.07373,0.010498,-0.906006,-4.211426,0.808716,2.853393,stones
