Timestamp,x-accelerometer,y-accelerometer,z-accelerometer,x-gyroscope,y-gyroscope,z-gyroscope
2024-03-21 13:47:08.338,-0.044189,-0.360596,-1.165527,9.063721,-2.761841,7.781982
2024-03-21 13:47:08.348,0.100586,-0.342041,-1.262939,10.223388,-1.663208,4.02832
2024-03-21 13:47:08.358,0.105713,-0.381592,-1.399902,4.882813,0.778198,1.51062
2024-03-21 13:47:08.368,-0.097412,-0.448242,-1.211914,4.608154,3.890991,0.915527
2024-03-21 13:47:08.377,-0.160156,-0.505615,-1.006592,5.66101,5.310058,-1.12915
2024-03-21 13:47:08.387,-0.13623,-0.437012,-0.926758,4.684448,4.714966,-2.532959
2024-03-21 13:47:08.397,-0.122559,-0.436523,-0.887451,4.241943,4.486084,-3.311157
2024-03-21 13:47:08.406,-0.057129,-0.433594,-0.857178,3.921509,4.577637,-4.180908
2024-03-21 13:47:08.416,0.002441,-0.404297,-0.862305,3.341675,4.379272,-4.425049
2024-03-21 13:47:08.426,0.024658,-0.405273,-0.907715,2.807617,5.401611,-4.806519
2024-03-21 13:47:08.436,0.015625,-0.41748,-0.902344,2.197266,6.256103,-4.699707
2024-03-21 13:47:08.446,-0.015869,-0.449951,-0.966553,1.586914,6.896972,-4.623413
2024-03-21 13:47:08.455,-0.037354,-0.403564,-0.993408,1.083374,7.385253,-4.806519
2024-03-21 13:47:08.465,-0.03833,-0.414063,-0.993408,0.961304,7.476806,-5.020141
2024-03-21 13:47:08.475,-0.038818,-0.416992,-0.950928,0.320435,7.705688,-5.187988
2024-03-21 13:47:08.485,-0.043457,-0.409424,-0.926025,-0.656128,8.102417,-5.142211
2024-03-21 13:47:08.494,-0.061768,-0.43042,-0.901367,-1.251221,8.666992,-4.257202
2024-03-21 13:47:08.504,-0.101563,-0.449463,-0.891113,-1.159668,9.063721,-3.082275
2024-03-21 13:47:08.514,-0.136963,-0.431396,-0.892334,-0.640869,8.514404,-1.922607
2024-03-21 13:47:08.524,-0.155518,-0.419678,-0.868896,-0.091553,7.217407,-0.946045
2024-03-21 13:47:08.533,-0.112061,-0.417969,-0.814697,0.045776,5.676269,-0.411987
2024-03-21 13:47:08.543,-0.036133,-0.43335,-0.780273,0.701904,4.623413,-0.076294
2024-03-21 13:47:08.553,0.033691,-0.428223,-0.800049,1.51062,4.806519,0.106812
2024-03-21 13:47:08.562,0.069824,-0.295898,-0.871826,0.839233,5.767822,-0.671387
2024-03-21 13:47:08.572,0.183594,-0.477539,-0.890137,2.120972,6.958007,-2.548218
2024-03-21 13:47:08.582,0.040283,-0.469727,-0.887451,4.776001,9.902954,-1.815796
2024-03-21 13:47:08.592,-0.0979,-0.457031,-0.939697,4.058838,11.45935,-1.983642
2024-03-21 13:47:08.602,-0.103271,-0.456055,-0.966553,4.592896,11.07788,-2.563476
2024-03-21 13:47:08.611,-0.120117,-0.418945,-0.985352,4.959106,9.567261,-2.685547
2024-03-21 13:47:08.621,-0.091797,-0.380859,-1.013428,4.837036,7.949829,-2.929687
2024-03-21 13:47:08.631,-0.060547,-0.367188,-0.985596,4.425049,6.576538,-2.792358
2024-03-21 13:47:08.640,0.087891,-0.568604,-0.890869,4.486084,6.027221,-1.937866
2024-03-21 13:47:08.650,-0.062256,-0.59375,-0.83252,8.529663,8.224487,3.40271
2024-03-21 13:47:08.660,-0.203125,-0.327393,-1.05542,6.805419,7.751464,5.432128
2024-03-21 13:47:08.670,0.023193,-0.345215,-1.161133,3.204345,3.387451,1.342773
2024-03-21 13:47:08.680,0.08374,-0.345947,-1.033691,1.51062,0.595093,0.534058
2024-03-21 13:47:08.690,0.006104,-0.341064,-1.062988,1.022339,0.259399,1.937866
2024-03-21 13:47:08.699,-0.063477,-0.323242,-1.084473,-0.62561,-0.915527,3.036499
2024-03-21 13:47:08.710,-0.07959,-0.297607,-0.967041,-1.602173,-2.716064,3.326416
2024-03-21 13:47:08.720,-0.02124,-0.293213,-0.926025,-2.792358,-4.302979,3.860473
2024-03-21 13:47:08.729,-0.026367,-0.275635,-0.901367,-3.738403,-5.874633,4.974365
2024-03-21 13:47:08.739,-0.037842,-0.25708,-0.869141,-4.486084,-7.385253,5.447387
2024-03-21 13:47:08.750,-0.008301,-0.228027,-0.897217,-5.874633,-8.880615,5.233764
2024-03-21 13:47:08.760,0.012207,-0.183594,-0.925781,-7.17163,-10.299682,4.440308
2024-03-21 13:47:08.770,0.032959,-0.192627,-0.911377,-8.377075,-10.69641,3.036499
2024-03-21 13:47:08.780,0.085938,-0.205811,-0.88208,-8.850098,-9.963989,1.251221
2024-03-21 13:47:08.789,0.099121,-0.202393,-0.898438,-7.598876,-8.056641,0.152588
2024-03-21 13:47:08.800,0.079834,-0.216309,-0.935547,-6.42395,-4.806519,-0.076294
2024-03-21 13:47:08.810,0.010742,-0.232178,-0.946045,-5.92041,-1.205444,0.350952
2024-03-21 13:47:08.819,-0.070557,-0.246582,-0.984375,-5.844116,1.144409,0.518799
2024-03-21 13:47:08.829,-0.115723,-0.224121,-1.01709,-5.996704,2.5177,0.259399
